gameweek_id,gameweek_name,deadline_time,average_entry_score,finished,data_checked,highest_score,is_previous,is_current,is_next,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,most_captained,most_vice_captained
1,Gameweek 1,2019-08-09 18:00:00,65,True,False,142,False,False,False,"[{'chip_name': 'bboost', 'num_played': 128770}, {'chip_name': '3xc', 'num_played': 271367}]",183,1,214,"{'id': 214, 'points': 20}",191,189
2,Gameweek 2,2019-08-17 10:30:00,41,True,False,119,False,False,False,"[{'chip_name': 'bboost', 'num_played': 114585}, {'chip_name': 'freehit', 'num_played': 89437}, {'chip_name': 'wildcard', 'num_played': 263066}, {'chip_name': '3xc', 'num_played': 216711}]",183,235,278,"{'id': 278, 'points': 17}",191,214
3,Gameweek 3,2019-08-23 18:00:00,44,True,False,107,False,False,False,"[{'chip_name': 'bboost', 'num_played': 79958}, {'chip_name': 'freehit', 'num_played': 104304}, {'chip_name': 'wildcard', 'num_played': 414347}, {'chip_name': '3xc', 'num_played': 166101}]",183,278,191,"{'id': 191, 'points': 15}",214,191
4,Gameweek 4,2019-08-31 10:30:00,57,True,False,136,False,False,False,"[{'chip_name': 'bboost', 'num_played': 72741}, {'chip_name': 'freehit', 'num_played': 108397}, {'chip_name': 'wildcard', 'num_played': 429973}, {'chip_name': '3xc', 'num_played': 198605}]",183,278,166,"{'id': 166, 'points': 16}",214,191
5,Gameweek 5,2019-09-14 10:30:00,52,True,False,128,False,False,False,"[{'chip_name': 'bboost', 'num_played': 58835}, {'chip_name': 'freehit', 'num_played': 97679}, {'chip_name': 'wildcard', 'num_played': 410196}, {'chip_name': '3xc', 'num_played': 186316}]",183,243,342,"{'id': 342, 'points': 16}",191,214
6,Gameweek 6,2019-09-20 18:00:00,52,True,False,141,False,False,False,"[{'chip_name': 'bboost', 'num_played': 47670}, {'chip_name': 'freehit', 'num_played': 66453}, {'chip_name': 'wildcard', 'num_played': 219869}, {'chip_name': '3xc', 'num_played': 101101}]",183,460,218,"{'id': 218, 'points': 19}",214,191
7,Gameweek 7,2019-09-28 10:30:00,51,True,False,118,False,False,False,"[{'chip_name': 'bboost', 'num_played': 65678}, {'chip_name': 'freehit', 'num_played': 70455}, {'chip_name': 'wildcard', 'num_played': 225098}, {'chip_name': '3xc', 'num_played': 94246}]",183,460,401,"{'id': 401, 'points': 15}",191,215
8,Gameweek 8,2019-10-05 10:30:00,36,True,False,100,False,False,False,"[{'chip_name': 'bboost', 'num_played': 54626}, {'chip_name': 'freehit', 'num_played': 80423}, {'chip_name': 'wildcard', 'num_played': 123551}, {'chip_name': '3xc', 'num_played': 67069}]",183,217,417,"{'id': 417, 'points': 16}",214,191
9,Gameweek 9,2019-10-19 10:30:00,37,True,False,98,False,False,False,"[{'chip_name': 'bboost', 'num_played': 57241}, {'chip_name': 'freehit', 'num_played': 63751}, {'chip_name': 'wildcard', 'num_played': 187805}, {'chip_name': '3xc', 'num_played': 60602}]",183,192,103,"{'id': 103, 'points': 14}",210,214
10,Gameweek 10,2019-10-25 18:00:00,49,True,False,138,False,False,False,"[{'chip_name': 'bboost', 'num_played': 40195}, {'chip_name': 'freehit', 'num_played': 34327}, {'chip_name': 'wildcard', 'num_played': 79941}, {'chip_name': '3xc', 'num_played': 48433}]",183,215,265,"{'id': 265, 'points': 20}",214,214
11,Gameweek 11,2019-11-02 11:30:00,53,True,False,134,False,False,False,"[{'chip_name': 'bboost', 'num_played': 58131}, {'chip_name': 'freehit', 'num_played': 50357}, {'chip_name': 'wildcard', 'num_played': 112730}, {'chip_name': '3xc', 'num_played': 126194}]",460,166,297,"{'id': 297, 'points': 21}",214,215
12,Gameweek 12,2019-11-08 19:00:00,48,True,False,119,False,False,False,"[{'chip_name': 'bboost', 'num_played': 50200}, {'chip_name': 'freehit', 'num_played': 76548}, {'chip_name': 'wildcard', 'num_played': 92282}, {'chip_name': '3xc', 'num_played': 33711}]",460,431,84,"{'id': 84, 'points': 12}",460,192
13,Gameweek 13,2019-11-23 11:30:00,49,True,False,124,False,False,False,"[{'chip_name': 'bboost', 'num_played': 41581}, {'chip_name': 'freehit', 'num_played': 73811}, {'chip_name': 'wildcard', 'num_played': 141943}, {'chip_name': '3xc', 'num_played': 60669}]",460,166,84,"{'id': 84, 'points': 17}",166,192
14,Gameweek 14,2019-11-30 11:30:00,51,True,False,124,False,False,False,"[{'chip_name': 'bboost', 'num_played': 43934}, {'chip_name': 'freehit', 'num_played': 58376}, {'chip_name': 'wildcard', 'num_played': 107335}, {'chip_name': '3xc', 'num_played': 85856}]",297,409,183,"{'id': 183, 'points': 17}",166,192
15,Gameweek 15,2019-12-03 18:30:00,49,True,True,117,False,False,False,"[{'chip_name': 'bboost', 'num_played': 60471}, {'chip_name': 'freehit', 'num_played': 29791}, {'chip_name': 'wildcard', 'num_played': 50012}, {'chip_name': '3xc', 'num_played': 96456}]",166,70,192,"{'id': 192, 'points': 15}",166,192
16,Gameweek 16,2019-12-07 11:30:00,54,True,True,127,False,False,False,"[{'chip_name': 'bboost', 'num_played': 70638}, {'chip_name': 'freehit', 'num_played': 30670}, {'chip_name': 'wildcard', 'num_played': 57853}, {'chip_name': '3xc', 'num_played': 45872}]",166,344,338,"{'id': 338, 'points': 16}",166,192
17,Gameweek 17,2019-12-14 11:30:00,56,True,True,131,False,False,False,"[{'chip_name': 'bboost', 'num_played': 83986}, {'chip_name': 'freehit', 'num_played': 43283}, {'chip_name': 'wildcard', 'num_played': 82312}, {'chip_name': '3xc', 'num_played': 161733}]",166,233,215,"{'id': 215, 'points': 19}",166,192
18,Gameweek 18,2019-12-21 11:30:00,38,True,True,100,False,False,False,"[{'chip_name': 'bboost', 'num_played': 31116}, {'chip_name': 'freehit', 'num_played': 203823}, {'chip_name': 'wildcard', 'num_played': 93644}, {'chip_name': '3xc', 'num_played': 25796}]",166,215,113,"{'id': 113, 'points': 16}",166,166
19,Gameweek 19,2019-12-26 11:30:00,49,True,True,124,False,False,False,"[{'chip_name': 'bboost', 'num_played': 60633}, {'chip_name': 'freehit', 'num_played': 39223}, {'chip_name': 'wildcard', 'num_played': 87255}, {'chip_name': '3xc', 'num_played': 40904}]",166,215,182,"{'id': 182, 'points': 24}",166,215
20,Gameweek 20,2019-12-28 11:30:00,54,True,True,108,False,False,False,"[{'chip_name': 'bboost', 'num_played': 38112}, {'chip_name': 'freehit', 'num_played': 31545}, {'chip_name': 'wildcard', 'num_played': 80145}, {'chip_name': '3xc', 'num_played': 35163}]",166,182,215,"{'id': 215, 'points': 14}",166,215
21,Gameweek 21,2020-01-01 11:30:00,48,True,True,112,False,False,False,"[{'chip_name': 'bboost', 'num_played': 36496}, {'chip_name': 'freehit', 'num_played': 19675}, {'chip_name': 'wildcard', 'num_played': 185172}, {'chip_name': '3xc', 'num_played': 37683}]",166,417,396,"{'id': 396, 'points': 16}",166,215
22,Gameweek 22,2020-01-10 19:00:00,57,True,True,139,False,False,False,"[{'chip_name': 'bboost', 'num_played': 60234}, {'chip_name': 'freehit', 'num_played': 25772}, {'chip_name': 'wildcard', 'num_played': 221359}, {'chip_name': '3xc', 'num_played': 35645}]",215,313,210,"{'id': 210, 'points': 20}",166,215
23,Gameweek 23,2020-01-18 11:30:00,44,True,True,119,False,False,False,"[{'chip_name': 'bboost', 'num_played': 52590}, {'chip_name': 'freehit', 'num_played': 36077}, {'chip_name': 'wildcard', 'num_played': 212815}, {'chip_name': '3xc', 'num_played': 42864}]",215,313,183,"{'id': 183, 'points': 15}",215,215
24,Gameweek 24,2020-01-21 18:30:00,53,True,True,137,False,False,False,"[{'chip_name': 'bboost', 'num_played': 49840}, {'chip_name': 'freehit', 'num_played': 118123}, {'chip_name': 'wildcard', 'num_played': 232975}, {'chip_name': '3xc', 'num_played': 625930}]",215,187,198,"{'id': 198, 'points': 16}",192,215
25,Gameweek 25,2020-02-01 11:30:00,47,True,True,119,False,False,False,"[{'chip_name': 'bboost', 'num_played': 55227}, {'chip_name': 'freehit', 'num_played': 45699}, {'chip_name': 'wildcard', 'num_played': 290870}, {'chip_name': '3xc', 'num_played': 35765}]",215,191,393,"{'id': 393, 'points': 18}",191,215
26,Gameweek 26,2020-02-08 11:30:00,56,True,True,127,False,False,False,"[{'chip_name': 'bboost', 'num_played': 47253}, {'chip_name': 'freehit', 'num_played': 26822}, {'chip_name': 'wildcard', 'num_played': 164665}, {'chip_name': '3xc', 'num_played': 49189}]",215,191,488,"{'id': 488, 'points': 17}",191,215
27,Gameweek 27,2020-02-22 11:30:00,45,True,True,126,False,False,False,"[{'chip_name': 'bboost', 'num_played': 61314}, {'chip_name': 'freehit', 'num_played': 23745}, {'chip_name': 'wildcard', 'num_played': 125942}, {'chip_name': '3xc', 'num_played': 42108}]",215,409,410,"{'id': 410, 'points': 16}",191,215
28,Gameweek 28,2020-02-28 19:00:00,26,True,True,101,False,False,False,"[{'chip_name': 'bboost', 'num_played': 13124}, {'chip_name': 'freehit', 'num_played': 197071}, {'chip_name': 'wildcard', 'num_played': 133773}, {'chip_name': '3xc', 'num_played': 21884}]",215,618,525,"{'id': 525, 'points': 19}",191,166
29,Gameweek 29,2020-03-07 11:30:00,51,True,True,130,False,False,False,"[{'chip_name': 'bboost', 'num_played': 82148}, {'chip_name': 'freehit', 'num_played': 98193}, {'chip_name': 'wildcard', 'num_played': 189335}, {'chip_name': '3xc', 'num_played': 112194}]",215,11,172,"{'id': 172, 'points': 19}",191,215
30,Gameweek 30,2020-03-14 11:30:00,0,True,True,0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 20080}, {'chip_name': 'freehit', 'num_played': 10811}, {'chip_name': 'wildcard', 'num_played': 36371}, {'chip_name': '3xc', 'num_played': 9696}]",215,618,296,"{'id': 296, 'points': 0}",191,191
31,Gameweek 31,2020-03-20 19:00:00,0,True,True,0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 705}, {'chip_name': 'freehit', 'num_played': 327}, {'chip_name': 'wildcard', 'num_played': 798}, {'chip_name': '3xc', 'num_played': 603}]",215,618,296,"{'id': 296, 'points': 0}",191,215
32,Gameweek 32,2020-04-04 10:30:00,0,True,True,0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 712}, {'chip_name': 'freehit', 'num_played': 167}, {'chip_name': 'wildcard', 'num_played': 355}, {'chip_name': '3xc', 'num_played': 683}]",215,618,149,"{'id': 149, 'points': 0}",191,215
33,Gameweek 33,2020-04-10 18:00:00,0,True,True,0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 232}, {'chip_name': 'freehit', 'num_played': 43}, {'chip_name': 'wildcard', 'num_played': 96}, {'chip_name': '3xc', 'num_played': 251}]",215,618,149,"{'id': 149, 'points': 0}",191,215
34,Gameweek 34,2020-04-18 10:30:00,0,True,True,0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 243}, {'chip_name': 'freehit', 'num_played': 40}, {'chip_name': 'wildcard', 'num_played': 101}, {'chip_name': '3xc', 'num_played': 233}]",215,618,149,"{'id': 149, 'points': 0}",191,215
35,Gameweek 35,2020-04-25 10:30:00,0,True,True,0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 250}, {'chip_name': 'freehit', 'num_played': 57}, {'chip_name': 'wildcard', 'num_played': 94}, {'chip_name': '3xc', 'num_played': 261}]",215,618,149,"{'id': 149, 'points': 0}",191,215
36,Gameweek 36,2020-05-02 13:00:00,0,True,True,0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 252}, {'chip_name': 'freehit', 'num_played': 63}, {'chip_name': 'wildcard', 'num_played': 72}, {'chip_name': '3xc', 'num_played': 223}]",215,233,149,"{'id': 149, 'points': 0}",191,215
37,Gameweek 37,2020-05-09 13:00:00,0,True,True,0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 282}, {'chip_name': 'freehit', 'num_played': 72}, {'chip_name': 'wildcard', 'num_played': 374}, {'chip_name': '3xc', 'num_played': 256}]",215,233,149,"{'id': 149, 'points': 0}",191,215
38,Gameweek 38,2020-05-17 13:00:00,0,True,True,0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 687}, {'chip_name': 'freehit', 'num_played': 106}, {'chip_name': 'wildcard', 'num_played': 146}, {'chip_name': '3xc', 'num_played': 398}]",215,233,149,"{'id': 149, 'points': 0}",191,215
39,Gameweek 30+,2020-06-17 16:00:00,66,True,True,165,False,False,False,"[{'chip_name': 'bboost', 'num_played': 343364}, {'chip_name': 'freehit', 'num_played': 65327}, {'chip_name': '3xc', 'num_played': 210981}]",215,29,220,"{'id': 220, 'points': 22}",215,215
40,Gameweek 31+,2020-06-23 16:00:00,62,True,True,143,False,False,False,"[{'chip_name': 'bboost', 'num_played': 34467}, {'chip_name': 'freehit', 'num_played': 60614}, {'chip_name': 'wildcard', 'num_played': 209048}, {'chip_name': '3xc', 'num_played': 28898}]",215,409,239,"{'id': 239, 'points': 21}",191,215
41,Gameweek 32+,2020-06-27 10:30:00,50,True,True,141,False,False,False,"[{'chip_name': 'bboost', 'num_played': 49356}, {'chip_name': 'freehit', 'num_played': 57754}, {'chip_name': 'wildcard', 'num_played': 101043}, {'chip_name': '3xc', 'num_played': 29245}]",215,239,11,"{'id': 11, 'points': 16}",191,215
42,Gameweek 33+,2020-07-04 10:30:00,50,True,True,133,False,False,False,"[{'chip_name': 'bboost', 'num_played': 79739}, {'chip_name': 'freehit', 'num_played': 73983}, {'chip_name': 'wildcard', 'num_played': 141833}, {'chip_name': '3xc', 'num_played': 98007}]",215,618,618,"{'id': 618, 'points': 15}",191,215
43,Gameweek 34+,2020-07-07 16:00:00,59,True,True,145,False,False,False,"[{'chip_name': 'bboost', 'num_played': 66354}, {'chip_name': 'freehit', 'num_played': 53208}, {'chip_name': 'wildcard', 'num_played': 102210}, {'chip_name': '3xc', 'num_played': 73137}]",215,234,191,"{'id': 191, 'points': 18}",215,215
44,Gameweek 35+,2020-07-11 10:30:00,42,True,True,151,False,False,False,"[{'chip_name': 'bboost', 'num_played': 79069}, {'chip_name': 'freehit', 'num_played': 72404}, {'chip_name': 'wildcard', 'num_played': 91882}, {'chip_name': '3xc', 'num_played': 92471}]",215,234,389,"{'id': 389, 'points': 26}",191,215
45,Gameweek 36+,2020-07-14 18:15:00,40,True,True,108,False,False,False,"[{'chip_name': 'bboost', 'num_played': 146733}, {'chip_name': 'freehit', 'num_played': 160831}, {'chip_name': 'wildcard', 'num_played': 75029}, {'chip_name': '3xc', 'num_played': 107769}]",215,214,219,"{'id': 219, 'points': 13}",191,215
46,Gameweek 37+,2020-07-18 15:30:00,53,True,True,139,True,False,False,"[{'chip_name': 'bboost', 'num_played': 240538}, {'chip_name': 'freehit', 'num_played': 109168}, {'chip_name': 'wildcard', 'num_played': 68890}, {'chip_name': '3xc', 'num_played': 128834}]",215,84,214,"{'id': 214, 'points': 17}",191,215
47,Gameweek 38+,2020-07-26 14:00:00,60,True,True,146,False,True,False,"[{'chip_name': 'bboost', 'num_played': 380596}, {'chip_name': 'freehit', 'num_played': 292228}, {'chip_name': 'wildcard', 'num_played': 101328}, {'chip_name': '3xc', 'num_played': 321564}]",215,214,215,"{'id': 215, 'points': 19}",191,215
