id,name,deadline_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,deadline_time_game_offset,highest_score,is_previous,is_current,is_next,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,transfers_made,most_captained,most_vice_captained
1,Gameweek 1,2019-08-09 18:00:00,65,True,False,3493085.0,1565373600,0,142.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 128770}, {'chip_name': '3xc', 'num_played': 271367}]",183.0,1.0,214.0,"{'id': 214, 'points': 20}",0,191.0,189.0
2,Gameweek 2,2019-08-17 10:30:00,41,True,False,6106693.0,1566037800,0,119.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 114585}, {'chip_name': 'freehit', 'num_played': 89437}, {'chip_name': 'wildcard', 'num_played': 263066}, {'chip_name': '3xc', 'num_played': 216711}]",183.0,235.0,278.0,"{'id': 278, 'points': 17}",9998839,191.0,214.0
3,Gameweek 3,2019-08-23 18:00:00,44,True,False,5087809.0,1566583200,0,107.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 79958}, {'chip_name': 'freehit', 'num_played': 104304}, {'chip_name': 'wildcard', 'num_played': 414347}, {'chip_name': '3xc', 'num_played': 166101}]",183.0,278.0,191.0,"{'id': 191, 'points': 15}",13387638,214.0,191.0
4,Gameweek 4,2019-08-31 10:30:00,57,True,False,6372519.0,1567247400,0,136.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 72741}, {'chip_name': 'freehit', 'num_played': 108397}, {'chip_name': 'wildcard', 'num_played': 429973}, {'chip_name': '3xc', 'num_played': 198605}]",183.0,278.0,166.0,"{'id': 166, 'points': 16}",13215999,214.0,191.0
5,Gameweek 5,2019-09-14 10:30:00,52,True,False,6223449.0,1568457000,0,128.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 58835}, {'chip_name': 'freehit', 'num_played': 97679}, {'chip_name': 'wildcard', 'num_played': 410196}, {'chip_name': '3xc', 'num_played': 186316}]",183.0,243.0,342.0,"{'id': 342, 'points': 16}",12363678,191.0,214.0
6,Gameweek 6,2019-09-20 18:00:00,52,True,False,3423365.0,1569002400,0,141.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 47670}, {'chip_name': 'freehit', 'num_played': 66453}, {'chip_name': 'wildcard', 'num_played': 219869}, {'chip_name': '3xc', 'num_played': 101101}]",183.0,460.0,218.0,"{'id': 218, 'points': 19}",7987314,214.0,191.0
7,Gameweek 7,2019-09-28 10:30:00,51,True,False,6758371.0,1569666600,0,118.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 65678}, {'chip_name': 'freehit', 'num_played': 70455}, {'chip_name': 'wildcard', 'num_played': 225098}, {'chip_name': '3xc', 'num_played': 94246}]",183.0,460.0,401.0,"{'id': 401, 'points': 15}",9336557,191.0,215.0
8,Gameweek 8,2019-10-05 10:30:00,36,True,False,6815331.0,1570271400,0,100.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 54626}, {'chip_name': 'freehit', 'num_played': 80423}, {'chip_name': 'wildcard', 'num_played': 123551}, {'chip_name': '3xc', 'num_played': 67069}]",183.0,217.0,417.0,"{'id': 417, 'points': 16}",7457686,214.0,191.0
9,Gameweek 9,2019-10-19 10:30:00,37,True,False,2389132.0,1571481000,0,98.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 57241}, {'chip_name': 'freehit', 'num_played': 63751}, {'chip_name': 'wildcard', 'num_played': 187805}, {'chip_name': '3xc', 'num_played': 60602}]",183.0,192.0,103.0,"{'id': 103, 'points': 14}",8197899,210.0,214.0
10,Gameweek 10,2019-10-25 18:00:00,49,True,False,4918403.0,1572026400,0,138.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 40195}, {'chip_name': 'freehit', 'num_played': 34327}, {'chip_name': 'wildcard', 'num_played': 79941}, {'chip_name': '3xc', 'num_played': 48433}]",183.0,215.0,265.0,"{'id': 265, 'points': 20}",5154940,214.0,214.0
11,Gameweek 11,2019-11-02 11:30:00,53,True,False,6812520.0,1572694200,0,134.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 58131}, {'chip_name': 'freehit', 'num_played': 50357}, {'chip_name': 'wildcard', 'num_played': 112730}, {'chip_name': '3xc', 'num_played': 126194}]",460.0,166.0,297.0,"{'id': 297, 'points': 21}",7319811,214.0,215.0
12,Gameweek 12,2019-11-08 19:00:00,48,True,False,7014679.0,1573239600,0,119.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 50200}, {'chip_name': 'freehit', 'num_played': 76548}, {'chip_name': 'wildcard', 'num_played': 92282}, {'chip_name': '3xc', 'num_played': 33711}]",460.0,431.0,84.0,"{'id': 84, 'points': 12}",6661058,460.0,192.0
13,Gameweek 13,2019-11-23 11:30:00,49,True,False,1305610.0,1574508600,0,124.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 41581}, {'chip_name': 'freehit', 'num_played': 73811}, {'chip_name': 'wildcard', 'num_played': 141943}, {'chip_name': '3xc', 'num_played': 60669}]",460.0,166.0,84.0,"{'id': 84, 'points': 17}",8018067,166.0,192.0
14,Gameweek 14,2019-11-30 11:30:00,51,True,False,3214667.0,1575113400,0,124.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 43934}, {'chip_name': 'freehit', 'num_played': 58376}, {'chip_name': 'wildcard', 'num_played': 107335}, {'chip_name': '3xc', 'num_played': 85856}]",297.0,409.0,183.0,"{'id': 183, 'points': 17}",6995827,166.0,192.0
15,Gameweek 15,2019-12-03 18:30:00,49,True,True,4812285.0,1575397800,0,117.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 60471}, {'chip_name': 'freehit', 'num_played': 29791}, {'chip_name': 'wildcard', 'num_played': 50012}, {'chip_name': '3xc', 'num_played': 96456}]",166.0,70.0,192.0,"{'id': 192, 'points': 15}",4393166,166.0,192.0
16,Gameweek 16,2019-12-07 11:30:00,54,True,True,932535.0,1575718200,0,127.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 70638}, {'chip_name': 'freehit', 'num_played': 30670}, {'chip_name': 'wildcard', 'num_played': 57853}, {'chip_name': '3xc', 'num_played': 45872}]",166.0,344.0,338.0,"{'id': 338, 'points': 16}",5239833,166.0,192.0
17,Gameweek 17,2019-12-14 11:30:00,56,True,True,2261247.0,1576323000,0,131.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 83986}, {'chip_name': 'freehit', 'num_played': 43283}, {'chip_name': 'wildcard', 'num_played': 82312}, {'chip_name': '3xc', 'num_played': 161733}]",166.0,233.0,215.0,"{'id': 215, 'points': 19}",6301130,166.0,192.0
18,Gameweek 18,2019-12-21 11:30:00,38,True,True,2365688.0,1576927800,0,100.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 31116}, {'chip_name': 'freehit', 'num_played': 203823}, {'chip_name': 'wildcard', 'num_played': 93644}, {'chip_name': '3xc', 'num_played': 25796}]",166.0,215.0,113.0,"{'id': 113, 'points': 16}",7276371,166.0,166.0
19,Gameweek 19,2019-12-26 11:30:00,49,True,True,7224850.0,1577359800,0,124.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 60633}, {'chip_name': 'freehit', 'num_played': 39223}, {'chip_name': 'wildcard', 'num_played': 87255}, {'chip_name': '3xc', 'num_played': 40904}]",166.0,215.0,182.0,"{'id': 182, 'points': 24}",5352893,166.0,215.0
20,Gameweek 20,2019-12-28 11:30:00,54,True,True,5086767.0,1577532600,0,108.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 38112}, {'chip_name': 'freehit', 'num_played': 31545}, {'chip_name': 'wildcard', 'num_played': 80145}, {'chip_name': '3xc', 'num_played': 35163}]",166.0,182.0,215.0,"{'id': 215, 'points': 14}",4408900,166.0,215.0
21,Gameweek 21,2020-01-01 11:30:00,48,True,True,7032684.0,1577878200,0,112.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 36496}, {'chip_name': 'freehit', 'num_played': 19675}, {'chip_name': 'wildcard', 'num_played': 185172}, {'chip_name': '3xc', 'num_played': 37683}]",166.0,417.0,396.0,"{'id': 396, 'points': 16}",5824001,166.0,215.0
22,Gameweek 22,2020-01-10 19:00:00,57,True,True,6875573.0,1578682800,0,139.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 60234}, {'chip_name': 'freehit', 'num_played': 25772}, {'chip_name': 'wildcard', 'num_played': 221359}, {'chip_name': '3xc', 'num_played': 35645}]",215.0,313.0,210.0,"{'id': 210, 'points': 20}",7181120,166.0,215.0
23,Gameweek 23,2020-01-18 11:30:00,44,True,True,3957614.0,1579347000,0,119.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 52590}, {'chip_name': 'freehit', 'num_played': 36077}, {'chip_name': 'wildcard', 'num_played': 212815}, {'chip_name': '3xc', 'num_played': 42864}]",215.0,313.0,183.0,"{'id': 183, 'points': 15}",7048347,215.0,215.0
24,Gameweek 24,2020-01-21 18:30:00,53,True,True,6390975.0,1579631400,0,137.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 49840}, {'chip_name': 'freehit', 'num_played': 118123}, {'chip_name': 'wildcard', 'num_played': 232975}, {'chip_name': '3xc', 'num_played': 625930}]",215.0,187.0,198.0,"{'id': 198, 'points': 16}",7299180,192.0,215.0
25,Gameweek 25,2020-02-01 11:30:00,47,True,True,1118939.0,1580556600,0,119.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 55227}, {'chip_name': 'freehit', 'num_played': 45699}, {'chip_name': 'wildcard', 'num_played': 290870}, {'chip_name': '3xc', 'num_played': 35765}]",215.0,191.0,393.0,"{'id': 393, 'points': 18}",8244319,191.0,215.0
26,Gameweek 26,2020-02-08 11:30:00,56,True,True,1061667.0,1581161400,0,127.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 47253}, {'chip_name': 'freehit', 'num_played': 26822}, {'chip_name': 'wildcard', 'num_played': 164665}, {'chip_name': '3xc', 'num_played': 49189}]",215.0,191.0,488.0,"{'id': 488, 'points': 17}",5386242,191.0,215.0
27,Gameweek 27,2020-02-22 11:30:00,45,True,True,797745.0,1582371000,0,126.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 61314}, {'chip_name': 'freehit', 'num_played': 23745}, {'chip_name': 'wildcard', 'num_played': 125942}, {'chip_name': '3xc', 'num_played': 42108}]",215.0,409.0,410.0,"{'id': 410, 'points': 16}",5503304,191.0,215.0
28,Gameweek 28,2020-02-28 19:00:00,26,True,True,4952325.0,1582916400,0,101.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 13124}, {'chip_name': 'freehit', 'num_played': 197071}, {'chip_name': 'wildcard', 'num_played': 133773}, {'chip_name': '3xc', 'num_played': 21884}]",215.0,618.0,525.0,"{'id': 525, 'points': 19}",7093934,191.0,166.0
29,Gameweek 29,2020-03-07 11:30:00,51,True,True,476857.0,1583580600,0,130.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 82148}, {'chip_name': 'freehit', 'num_played': 98193}, {'chip_name': 'wildcard', 'num_played': 189335}, {'chip_name': '3xc', 'num_played': 112194}]",215.0,11.0,172.0,"{'id': 172, 'points': 19}",7356841,191.0,215.0
30,Gameweek 30,2020-03-14 11:30:00,0,True,True,1.0,1584185400,0,0.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 20080}, {'chip_name': 'freehit', 'num_played': 10811}, {'chip_name': 'wildcard', 'num_played': 36371}, {'chip_name': '3xc', 'num_played': 9696}]",215.0,618.0,296.0,"{'id': 296, 'points': 0}",2306988,191.0,191.0
31,Gameweek 31,2020-03-20 19:00:00,0,True,True,1.0,1584730800,0,0.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 705}, {'chip_name': 'freehit', 'num_played': 327}, {'chip_name': 'wildcard', 'num_played': 798}, {'chip_name': '3xc', 'num_played': 603}]",215.0,618.0,296.0,"{'id': 296, 'points': 0}",194078,191.0,215.0
32,Gameweek 32,2020-04-04 10:30:00,0,True,True,1.0,1585996200,0,0.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 712}, {'chip_name': 'freehit', 'num_played': 167}, {'chip_name': 'wildcard', 'num_played': 355}, {'chip_name': '3xc', 'num_played': 683}]",215.0,618.0,149.0,"{'id': 149, 'points': 0}",188141,191.0,215.0
33,Gameweek 33,2020-04-10 18:00:00,0,True,True,1.0,1586541600,0,0.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 232}, {'chip_name': 'freehit', 'num_played': 43}, {'chip_name': 'wildcard', 'num_played': 96}, {'chip_name': '3xc', 'num_played': 251}]",215.0,618.0,149.0,"{'id': 149, 'points': 0}",66064,191.0,215.0
34,Gameweek 34,2020-04-18 10:30:00,0,True,True,1.0,1587205800,0,0.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 243}, {'chip_name': 'freehit', 'num_played': 40}, {'chip_name': 'wildcard', 'num_played': 101}, {'chip_name': '3xc', 'num_played': 233}]",215.0,618.0,149.0,"{'id': 149, 'points': 0}",66152,191.0,215.0
35,Gameweek 35,2020-04-25 10:30:00,0,True,True,1.0,1587810600,0,0.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 250}, {'chip_name': 'freehit', 'num_played': 57}, {'chip_name': 'wildcard', 'num_played': 94}, {'chip_name': '3xc', 'num_played': 261}]",215.0,618.0,149.0,"{'id': 149, 'points': 0}",50471,191.0,215.0
36,Gameweek 36,2020-05-02 13:00:00,0,True,True,1.0,1588424400,0,0.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 252}, {'chip_name': 'freehit', 'num_played': 63}, {'chip_name': 'wildcard', 'num_played': 72}, {'chip_name': '3xc', 'num_played': 223}]",215.0,233.0,149.0,"{'id': 149, 'points': 0}",48189,191.0,215.0
37,Gameweek 37,2020-05-09 13:00:00,0,True,True,1.0,1589029200,0,0.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 282}, {'chip_name': 'freehit', 'num_played': 72}, {'chip_name': 'wildcard', 'num_played': 374}, {'chip_name': '3xc', 'num_played': 256}]",215.0,233.0,149.0,"{'id': 149, 'points': 0}",46060,191.0,215.0
38,Gameweek 38,2020-05-17 13:00:00,0,True,True,1.0,1589720400,0,0.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 687}, {'chip_name': 'freehit', 'num_played': 106}, {'chip_name': 'wildcard', 'num_played': 146}, {'chip_name': '3xc', 'num_played': 398}]",215.0,233.0,149.0,"{'id': 149, 'points': 0}",50077,191.0,215.0
39,Gameweek 30+,2020-06-17 16:00:00,66,True,True,204535.0,1592409600,0,165.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 343364}, {'chip_name': 'freehit', 'num_played': 65327}, {'chip_name': '3xc', 'num_played': 210981}]",215.0,29.0,220.0,"{'id': 220, 'points': 22}",16240458,215.0,215.0
40,Gameweek 31+,2020-06-23 16:00:00,62,True,True,7191275.0,1592928000,0,143.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 34467}, {'chip_name': 'freehit', 'num_played': 60614}, {'chip_name': 'wildcard', 'num_played': 209048}, {'chip_name': '3xc', 'num_played': 28898}]",215.0,409.0,239.0,"{'id': 239, 'points': 21}",6157936,191.0,215.0
41,Gameweek 32+,2020-06-27 10:30:00,50,True,True,1340226.0,1593253800,0,141.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 49356}, {'chip_name': 'freehit', 'num_played': 57754}, {'chip_name': 'wildcard', 'num_played': 101043}, {'chip_name': '3xc', 'num_played': 29245}]",215.0,239.0,11.0,"{'id': 11, 'points': 16}",4387632,191.0,215.0
42,Gameweek 33+,2020-07-04 10:30:00,50,True,True,6858401.0,1593858600,0,133.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 79739}, {'chip_name': 'freehit', 'num_played': 73983}, {'chip_name': 'wildcard', 'num_played': 141833}, {'chip_name': '3xc', 'num_played': 98007}]",215.0,618.0,618.0,"{'id': 618, 'points': 15}",5703602,191.0,215.0
43,Gameweek 34+,2020-07-07 16:00:00,59,True,True,7064746.0,1594137600,0,145.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 66354}, {'chip_name': 'freehit', 'num_played': 53208}, {'chip_name': 'wildcard', 'num_played': 102210}, {'chip_name': '3xc', 'num_played': 73137}]",215.0,234.0,191.0,"{'id': 191, 'points': 18}",4439920,215.0,215.0
44,Gameweek 35+,2020-07-11 10:30:00,42,True,True,5292105.0,1594463400,0,151.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 79069}, {'chip_name': 'freehit', 'num_played': 72404}, {'chip_name': 'wildcard', 'num_played': 91882}, {'chip_name': '3xc', 'num_played': 92471}]",215.0,234.0,389.0,"{'id': 389, 'points': 26}",4739023,191.0,215.0
45,Gameweek 36+,2020-07-14 18:15:00,40,True,True,910226.0,1594750500,0,108.0,True,False,False,"[{'chip_name': 'bboost', 'num_played': 146733}, {'chip_name': 'freehit', 'num_played': 160831}, {'chip_name': 'wildcard', 'num_played': 75029}, {'chip_name': '3xc', 'num_played': 107769}]",215.0,214.0,219.0,"{'id': 219, 'points': 13}",5382697,191.0,215.0
46,Gameweek 37+,2020-07-18 15:30:00,8,False,False,7613625.0,1595086200,0,91.0,False,True,False,"[{'chip_name': 'bboost', 'num_played': 240538}, {'chip_name': 'freehit', 'num_played': 109168}, {'chip_name': 'wildcard', 'num_played': 68890}, {'chip_name': '3xc', 'num_played': 128834}]",215.0,84.0,338.0,"{'id': 338, 'points': 13}",4287128,191.0,215.0
47,Gameweek 38+,2020-07-26 14:00:00,0,False,False,,1595772000,0,,False,False,True,[],,,,,0,,
